Sentence #,Word,POS,Tag
,drops,NNS,B-AP
,and,CC,O
,executes,VBZ,I-AP
,a,DT,O
,decryptor,NN,B-ID
,tool,NN,I-ID
,",",",",O
,and,CC,O
,demands,VBZ,B-AP
,$,$,O
,300,CD,O
,or,CC,O
,$,$,O
,600,CD,O
,USD,NNP,O
,(,(,O
,via,IN,O
,Bitcoin,NNP,B-ID
,),),O
,to,TO,O
,decrypt,VB,B-AP
,the,DT,I-AP
,data,NN,I-AP
,.,.,O
Sentence 80,WannaCry,NNP,B-M
,creates,VBZ,B-AP
,the,DT,O
,following,JJ,O
,registry,NN,O
,to,TO,O
,run,VB,B-AP
,keys,NNS,I-AP
,to,TO,O
,ensure,VB,O
,persistence,NN,B-AP
,:,:,O
,Key,NNS,O
,:,:,O
,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\<Random>,DT,B-AP
,.,.,O
Sentence 81,Name,NN,O
,:,:,O
,m_czech,NN,O
,.,.,O
,wnry,JJ,O
,Path,NN,O
,:,:,O
,%CD%\msg\,NN,O
,MD5,NNP,O
,:,:,O
,537efeecdfa94cc421e58fd82a58ba9e,CD,O
,.,.,O
Sentence 82,Name,NN,O
,:,:,O
,m_french,NN,O
,.,.,O
,wnry,JJ,O
,Path,NN,O
,:,:,O
,%CD%\msg\,NN,O
,MD5,NNP,O
,:,:,O
,4e57113a6bf6b88fdd32782a4a381274,CD,O
,.,.,O
Sentence 83,Name,NN,O
,:,:,O
,taskdl,NN,O
,.,.,O
,exe,JJ,O
,Path,NN,O
,:,:,O
,%CD%,NN,O
,MD5,NNP,O
,:,:,O
,4fef5e34143e646dbf9907c4374276f5,CD,O
Sentence 84,Name,NN,O
,:,:,O
,u,NN,O
,.,.,O
,wnry,JJ,O
,Path,NN,O
,:,:,O
,%CD%,NN,O
,MD5,NNP,O
,:,:,O
,7bf2b57f2a205768755c07f238fb32cc,CD,O
Sentence 85,Name,NN,O
,:,:,O
,m_italian,NN,O
,.,.,O
,wnry,JJ,O
,Path,NN,O
,:,:,O
,%CD%\msg\,JJ,O
,MD5,NNP,O
,:,:,O
,30a200f78498990095b36f574b6e8690,CD,O
Sentence 86,Name,NN,O
,:,:,O
,m_chinese (Simplified),NN,O
,.,.,O
,wnry,JJ,O
,Path,NN,O
,:,:,O
,CDmsg,JJ,O
,MD5,NNP,O
,:,:,O
,2efc3690d67cd073a9406a25005f7cea,CD,O
Sentence 87,Various,JJ,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NN,B-M
,enumerates,VBZ,B-AP
,logged,VBN,I-AP
,-,:,O
,on,IN,O
,users,NNS,O
,which,WDT,O
,is,VBZ,O
,a,DT,O
,User,NNP,B-AP
,Discovery,NNP,I-AP
,technique,NN,I-AP
,.,.,O
Sentence 88,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,used,VBN,O
,Themida,NNP,B-T
,to,TO,O
,pack,VB,O
,at,IN,O
,least,JJS,O
,two,CD,O
,separate,JJ,O
,backdoor,NN,B-AP
,implants,NNS,I-AP
,.,.,O
Sentence 89,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,developed,VBN,B-AP
,several,JJ,O
,custom,NN,I-AP
,malware,NN,I-AP
,for,IN,O
,use,NN,O
,in,IN,O
,operations,NNS,O
,.,.,O
Sentence 90,Cryptocurrency,NN,B-INF
,mining,NN,I-INF
,software,NN,I-INF
,is,VBZ,O
,used,VBN,O
,for,IN,O
,Resource,NNP,B-AP
,Hijacking,NNP,I-AP
,on,IN,O
,victim,NN,O
,machines,NNS,O
,.,.,O
Sentence 91,Modified,NNP,B-M
,registry,NN,I-M
,keys,NNS,I-M
,using,VBG,O
,the,DT,O
,reg,NN,O
,windows,VBZ,O
,utility,NN,O
,for,IN,O
,its,PRP$,O
,custom,NN,B-AP
,backdoor,NN,I-AP
,implants,NNS,I-AP
,can,MD,O
,be,VB,O
,used,VBN,O
,to,TO,O
,modify,VB,B-V
,registry,NN,I-V
,.,.,O
Sentence 92,For,IN,O
,more,JJR,O
,information,NN,O
,on,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,activity,NN,O
,",",",",O
,visit,NN,O
,https://www.us-cert.gov/hiddencobra,NN,O
,.,.,O
Sentence 93,Some,DT,O
,IPs,NNP,B-IND
,used,VBN,O
,by,IN,O
,Trojan,NNP,B-M
,KEYMARBLE,NNP,I-M
,are,VBP,O
,100.43.153.60,CD,B-IND
,104.194.160.59,CD,B-IND
,212.143.21.43,CD,B-IND
,.,.,O
Sentence 94,Groups,NNS,O
,like,IN,O
,the,DT,O
,HIDDEN,NNP,B-TA
,COBRA,NNP,I-TA
,have,VBP,O
,targeted,VBN,O
,victims,NNS,O
,with,IN,O
,spearphishing,VBG,B-AP
,emails,NNS,I-AP 
,containing,VBG,O
,malicious,JJ,B-IND
,Microsoft,NNP,I-IND
,Word,NNP,I-IND
,documents,NNS,I-IND
,.,.,O
Sentence 95,Connection,NN,O
,between,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,and,CC,O
,the,DT,O
,Bangladesh,NNP,B-L
,bank,NN,B-ID
,heist,NN,O
,.,.,O
Sentence 96,Other,JJ,O
,claims,NNS,O
,that,IN,O
,Lazarus,NNP,B-TA
,was,VBD,O
,the,DT,O
,group,NN,O
,behind,IN,O
,attacks,NNS,O
,on,IN,O
,the,DT,O
,Polish,JJ,B-ID
,financial,JJ,I-ID
,sector,NN,I-ID
,.,.,O
Sentence 97,Lazarus,NNP,B-TA
,is,VBZ,O
,largely,RB,O
,said,VBD,O
,to,TO,O
,be,VB,O
,responsible,JJ,O
,for,IN,O
,the,DT,O
,$81 ,CD,O
,million,CD,O
,hiest,NN,O
,of,IN,O
,Central,NNP,B-ID
,Bank,NNP,I-ID
,of,IN,O
,Bangladesh,NNP,B-L
,.,.,O
Sentence 98,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,Cyberattack,NNP,B-AP
,against,IN,O
,the,DT,O
,Bangladesh,NNP,B-L
,Central,NNP,B-ID
,Bank,NNP,I-ID
,.,.,O
Sentence 99,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,attempted,VBD,O
,to,TO,O
,steal,VB,O
,1,CD,O
,billion,CD,O
,USD,NNS,O
,from,IN,O
,the,DT,O
,Bangladesh,NNP,B-L
,Central,NNP,B-ID
,Bank,NNP,I-ID
,.,.,O
Sentence 100,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,made,VBD,O
,spotlight,NN,O
,for,IN,O
,the,DT,O
,Central,NNP,B-ID
,Bank,NNP,I-ID
,Heist,NNP,O
,in,IN,O
,Bangaldesh,NNP,B-L
,.,.,O
Sentence 101,Bluenoroff,NNP,B-TA
,is,VBZ,O
,a,DT,O
,Lazarus,NNP,B-TA
,unit,NN,O
,.,.,O
Sentence 102,Since,IN,O
,the,DT,O
,incident,NN,O
,in,IN,O
,Bangladesh,NNP,B-L
,",",",",O
,Kaspersky,NNP,B-ID
,Lab,NNP,I-ID
,has,VBZ,O
,been,VBN,O
,tracking,VBG,O
,the,DT,O
,actor,NN,O
,going,VBG,O
,after,IN,O
,systems,NNS,O
,supporting,VBG,O
,SWIFT,NNP,B-INF
,messaging,NN,I-INF
,.,.,O
Sentence 103,Bluenoroff,NNP,B-TA
,watering,VBG,B-C
,hole,NN,I-C
,attacks,NNS,I-C
,.,.,O
Sentence 104,Bluenoroff,NNP,B-TA
,have,VBP,O
,targeted,VBN,O
,Financial,NNP,B-ID
,Institutions,NNP,I-ID
,",",",",O
,Casinos,NNP,B-ID
,and,CC,O
,many,JJ,O
,other,JJ,O
,sectors,NNS,O
,.,.,O
Sentence 105,Sectors,NNS,O
,like,IN,O
,the,DT,O
,Crypt,NNP,B-ID
,-,:,I-ID
,Currency,NN,I-ID
,business,NN,B-ID
,has,VBZ,O
,been,VBN,O
,targetted,VBN,O
,by,IN,O
,Bluenoroff,NNP,B-TA
,.,.,O
Sentence 106,Watering,VBG,B-C
,hole,NN,I-C
,attacks,NNS,I-C
,have,VBP,O
,been,VBN,O
,done,VBN,O
,in,IN,O
,India,NNP,B-L
,",",",",O
,Peru,NNP,B-L
,and,CC,O
,other,JJ,O
,regions,NNS,O
,like,IN,O
,Uruguay,NNP,B-L
,and,CC,O
,even,RB,O
,Australia,NNP,B-L
,",",",",O
,by,IN,O
,Bluenoroff,NNP,B-TA
,.,.,O
Sentence 107,fully,RB,O
,-,:,O
,fledged,VBN,O
,backdoor,NN,B-AP
,(,(,O
,MD5,NNP,O
,:,:,O
,2ef2703cfc9f6858ad9527588198b1b6,CD,O
,),),O
,.,.,O
Sentence 108,Bluenoroff,NNP,B-TA
,is,VBZ,O
,a,DT,O
,Kaspersky,NNP,B-ID
,Lab,NNP,I-ID
,codename,NN,O
,for,IN,O
,a,DT,O
,threat,NN,O
,actor,NN,O
,involved,VBN,O
,in,IN,O
,financial,JJ,B-AP
,targeted,JJ,I-AP 
,attacks,NNS,O
,.,.,O
Sentence 109,The,DT,O
,most,RBS,O
,well,RB,O
,-,:,O
,known,VBN,O
,attack,NN,O
,launched,VBN,O
,by,IN,O
,the,DT,O
,Bluenoroff,NNP,B-TA
,group,NN,O
,is,VBZ,O
,the,DT,O
,Bangladesh,NNP,B-L
,bank,NN,O
,heist,NN,O
,.,.,O
Sentence 110,The,DT,O
,scale,NN,O
,of,IN,O
,Lazarus,NNP,B-TA
,operations,NNS,O
,is,VBZ,O
,shocking,VBG,O
,.,.,O
Sentence 111,Lazarus,NNP,B-TA
,avoids,NNS,O
,reusing,VBG,O
,the,DT,O
,same,JJ,O
,tools,NNS,O
,",",",",O
,the,DT,O
,same,JJ,O
,code,NN,O
,",",",",O
,and,CC,O
,the,DT,O
,same,JJ,O
,algorithms,NN,O
,.,.,O
Sentence 112,Most,JJS,O
,of,IN,O
,Lazarus,NNP,B-TA
,tools,NNS,O
,are,VBP,O
,designed,VBN,O
,to,TO,O
,be,VB,O
,disposable,JJ,B-AP
,material,NN,O
,.,.,O
Sentence 113,Bluenoroff,NNP,B-TA
,",",",",O
,as,IN,O
,a,DT,O
,subgroup,NN,O
,of,IN,O
,Lazarus,NNP,B-TA
,",",",",O
,is,VBZ,O
,focused,VBN,O
,only,RB,O
,on,IN,O
,financial,JJ,B-IND
,attacks,NNS,I-IND
,.,.,O
Sentence 114,To,TO,O
,date,NN,O
,",",",",O
,the,DT,O
,Lazarus,NNP,B-TA
,/,NNP,O
,Bluenoroff,NNP,B-TA
,group,NN,O
,has,VBZ,O
,been,VBN,O
,one,CD,O
,of,IN,O
,the,DT,O
,most,RBS,O
,successful,JJ,O
,in,IN,O
,launching,VBG,O
,large,JJ,O
,scale,JJ,O
,operations,NNS,O
,against,IN,O
,the,DT,O
,financial,JJ,B-ID
,industry,NN,I-ID
,.,.,O
Sentence 115,One,CD,O
,of,IN,O
,Bluenoroff,NNP,B-TA
,,,O
,s,VBD,O
,favorite,JJ,O
,strategies,NNS,O
,is,VBZ,O
,to,TO,O
,silently,RB,B-AP
,integrate,VB,I-AP 
,into,IN,I-AP 
,running,VBG,I-AP 
,processes,NNS,I-AP 
,without,IN,O
,breaking,VBG,O
,them,PRP,O
,.,.,O
Sentence 116,Lazarus,NNP,B-TA
,used,VBD,O
,IOCS,NNP,B-INF
,methods,IN,I-INF
,sha1,NN,I-INF
,for,IN,O
,hashing,VBG,B-AP
,for,IN,O
,example,NN,O
,c6b24bd3f674e9f09f44aae028685b2194df7bbf,NN,B-IND
,.,.,O
Sentence 117,Variants,NNS,O
,of,IN,O
,malware,NN,O
,and,CC,O
,tools,NNS,O
,used,VBN,O
,by,IN,O
,HIDDEN,NNP,B-TA
,COBRA,NNP,I-TA
,actors,NNS,O
,include,VBP,O
,Destover,NNP,B-M
,",",",",O
,Duuzer,NNP,B-M
,",",",",O
,and,CC,O
,Hangman,NNP,B-M
,.,.,O
Sentence 118,menupass,NN,B-TA
,is,VBZ,O
,a,DT,O
,threat,NN,O
,group,NN,O
,that,WDT,O
,has,VBZ,O
,been,VBN,O
,active,JJ,O
,since,IN,O
,at,IN,O
,least,JJS,O
,2006,CD,O
,.,.,O
Sentence 119,menupass,NN,B-TA
,worked,VBD,O
,with,IN,O
,Chinese,NNP,B-ID
,Ministry,NNP,I-ID
,of,IN,I-ID
,State,NNP,I-ID
,Security,NNP,I-ID
,,POS,O
,s,NN,O
,(,(,O
,MSS,NNP,B-ID
,),),O
,Tianjin,NNP,B-L
,State,NNP,B-ID
,Security,NNP,I-ID
,Bureau,NNP,I-ID
,.,.,O
Sentence 120,menupass,NN,B-TA
,has,VBZ,O
,targeted,VBN,O
,healthcare,NN,B-ID
,.,.,O
Sentence 121,Different,JJ,O
,sectors,NNS,O
,that,IN,O
,menupass,NN,B-TA
,targetted,VBD,O
,also,RB,O
,include,VBP,O
,defense,NN,B-ID
,",",",",O
,aerospace,NN,B-ID
,and,CC,O
,finance,NN,B-ID
,.,.,O
Sentence 122,Japanese,JJ,B-ID
,organizations,NNS,I-ID
,are,VBP,O
,usually,RB,O
,the,DT,O
,prime,JJ,O
,targets,NNS,O
,for,IN,O
,menupass,NN,B-TA
,.,.,O
Sentence 123,Some,DT,O
,common,JJ,O
,aliases,NNS,O
,for,IN,O
,menupass,NN,B-TA
,are,VBP,O
,Cicada,NNP,B-TA
,",",",",O
,POTASSIUM,NNP,B-TA
,",",",",O
,Stone,NNP,B-TA
,Panda,NNP,I-TA
,",",",",O
,APT10,NNP,B-TA
,",",",",O
,Red,NNP,B-TA
,Apollo,NNP,I-TA
,",",",",O
,CVNX,NNP,B-TA
,",",",",O
,HOGFISH,NNP,B-TA
,.,.,O
Sentence 124,menupass,NN,B-TA
,is,VBZ,O
,also,RB,O
,given,VBN,O
,the,DT,O
,name,NN,O
,APT10,NNP,B-TA
,.,.,O
Sentence 125,Stone,NNP,B-TA
,Panda,NNP,I-TA
,and,CC,O
,POTASSIUM,NNP,B-TA
,are,VBP,O
,also,RB,O
,some,DT,O
,of,IN,O
,the,DT,O
,names,NNS,O
,commonly,RB,O
,associated,VBN,O
,with,IN,O
,menupass,NN,B-TA
Sentence 126,menu,NN,B-TA
,Pass,NNP,I-TA
,is,VBZ,O
,also,RB,O
,known,VBN,O
,as,IN,O
,Red,NNP,B-TA
,Apollo,NNP,I-TA
,.,.,O
Sentence 127,CVNX,NNP,B-TA
,is,VBZ,O
,referred,VBN,O
,to,TO,O
,as,IN,O
,HogFish,NNP,B-TA
,and,CC,O
,menupass,NN,B-TA
,as,RB,O
,well,RB,O
,.,.,O
Sentence 128,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,B-AP
,valid,JJ,I-AP 
,accounts,NNS,I-AP 
,including,VBG,O
,shared,VBN,O
,between,IN,O
,Managed,NNP,O
,Service,NNP,O
,Providers,NNP,O
,and,CC,O
,clients,NNS,O
,to,TO,O
,move,VB,B-AP
,between,IN,I-AP 
,the,DT,O
,two,CD,O
,environments,NNS,I-AP 
,.,.,O
Sentence 129,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,legitimate,JJ,B-AP
,access,NN,I-AP 
,granted,VBN,I-AP 
,to,TO,O
,Managed,NNP,B-ID
,Service,NNP,I-ID
,Providers,NNPS,I-ID
,in,IN,O
,order,NN,O
,to,TO,O
,access,NN,O
,victims,NNS,O
,of,IN,O
,interest,NN,O
,to,TO,O
,gain,VB,O
,a,DT,O
,Trusted,NNP,O
,Relationship,NNP,O
,.,.,O
Sentence 130,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,net,JJ,B-INF
,use,NN,I-INF
,to,TO,O
,conduct,VB,O
,connectivity,NN,B-V
,checks,NNS,I-V
,to,TO,O
,machines,NNS,O
,as,IN,O
,way,NN,O
,for,IN,O
,System,NNP,B-AP
,Network,NNP,I-AP 
,Connections,NNP,I-AP 
,Discovery,NNP,I-AP 
,.,.,O
Sentence 131,For,IN,O
,external,JJ,B-AP
,proxy,NN,I-AP 
,a,DT,O
,global,JJ,O
,service,NN,O
,provider,NN,O
,,,O
,s,JJ,O
,IP,NNP,B-INF
,as,IN,O
,a,DT,O
,proxy,NN,B-AP
,for,IN,O
,C2,NNP,B-AP
,traffic,NN,I-AP 
,from,IN,O
,a,DT,O
,victim,NN,O
,can,MD,O
,be,VB,O
,used,VBN,O
,.,.,O
Sentence 132,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,RDP,NNP,B-INF
,connections,NNS,I-INF
,to,TO,O
,move,VB,B-AP
,across,IN,I-AP 
,the,DT,O
,victim,NN,I-AP 
,network,NN,I-AP 
,.,.,O
Sentence 133,menupass,NN,B-TA
,is,VBZ,O
,also,RB,O
,known,VBN,O
,as,IN,O
,G0045,NNP,B-TA
,according,VBG,O
,to,TO,O
,the,DT,O
,att4ck,NN,B-ID
,framework,NN,I-ID
,.,.,O
Sentence 134,menu,NN,B-TA
,Pass,NNP,I-TA
,is,VBZ,O
,given,VBN,O
,the,DT,O
,ID,NNP,O
,G0045,NNP,B-TA
,and,CC,O
,title,VB,O
,APT10,NNP,B-TA
,by,IN,O
,mitre,NNP,B-ID
,,POS,O
,s,JJ,O
,attack,NN,I-ID
,framework,NN,I-ID
,.,.,O
Sentence 135,menupass,NN,B-TA
,has,VBZ,O
,targetted,VBN,O
,managed,VBD,B-ID
,IT,NNP,I-ID
,service,NN,I-ID
,providers,NNS,I-ID
,(,(,O
,MSPs,NNP,B-ID
,),),O
,.,.,O
Sentence 136,menupass,NN,B-TA
,uses,VBZ,O
,PowerSploit,NNP,B-T
,to,TO,O
,inject,VB,B-AP
,shellcode,NN,I-AP 
,into,IN,I-AP 
,PowerShell,NNP,I-AP 
,.,.,O
Sentence 137,APT10,NNP,B-TA
,frequently,RB,O
,deploys,VBZ,O
,EvilGrab,NNP,B-M
,via,IN,O
,email,NN,B-AP
,.,.,O
Sentence 138,APT10,NNP,B-TA
,has,VBZ,O
,used,VBN,O
,EvilGrab,NNP,B-M
,to,TO,O
,exploit,VB,O
,targets,NNS,O
,in,IN,O
,Japan,NNP,B-L
,.,.,O
Sentence 139,Poison,NNP,B-M
,Ivy,NNP,I-M
,is,VBZ,O
,an,DT,O
,extendible,JJ,O
,malware,NN,O
,family,NN,O
,and,CC,O
,was,VBD,O
,commonly,RB,O
,used,VBN,O
,by,IN,O
,APT10,NNP,B-TA
,.,.,O
Sentence 140,One,CD,O
,of,IN,O
,the,DT,O
,latest,JJS,O
,Poison,NN,B-M
,ivy,NN,I-M
,binaries,NNS,I-M
,has,VBZ,O
,an,DT,O
,MD5,NNP,B-IND
,hash,NN,I-IND
,of,IN,I-IND
,08A268A4C473F9920B254A6B6FC62548,CD,I-IND
,.,.,O
Sentence 141,The,DT,O
,domain,NN,O
,is,VBZ,O
,controlled,VBN,O
,by,IN,O
,APT10,NNP,B-TA
,registered,VBD,O
,using,VBG,O
,the,DT,O
,email,NN,O
,address,NN,B-IND
,wangtongbao1957@gmail.com,DT,I-IND
,.,.,O
Sentence 142,APT10,NNP,B-TA
,targetted,VBD,O
,UK,NNP,B-L
,using,VBG,O
,hashes,NNS,B-IND
,like,IN,O
,ina9dd70d451da54f22d12335ece4117a479cc80a9983381b063e36b1dbaa06ca5,NN,I-IND
,.,.,O
Sentence 143,The,DT,O
,latest,JJS,O
,malware,NN,O
,family,NN,O
,to,TO,O
,be,VB,O
,attributed,VBN,O
,to,TO,O
,APT10,NNP,B-TA
,is,VBZ,O
,a,DT,O
,newly,RB,O
,discovered,VBN,O
,sample,NN,O
,",",",",O
,referred,VBD,O
,to,TO,O
,as,IN,O
,RedLeaves,NNS,B-M
,.,.,O
Sentence 144,RedLeaves,NNS,B-M
,is,VBZ,O
,used,VBN,O
,as,IN,O
,an,DT,O
,initial,JJ,B-AP
,payload,NN,I-AP 
,",",",",O
,packaged,VBN,O
,and,CC,O
,deployed,VBN,O
,via,IN,O
,spear,JJ,B-AP
,phishing,VBG,I-AP 
,techniques,NNS,O
,.,.,O
Sentence 145,Network,NNP,B-AP
,Reconnaissance,NNP,I-AP 
,-,-,O
,gathering,VBG,B-AP
,information,NN,I-AP 
,from,IN,O
,machines,NNS,O
,on,IN,O
,the,DT,O
,network,NN,O
,.,.,O
Sentence 146,Adfind,NNP,B-T
,which,WDT,O
,is,VBZ,O
,a,DT,O
,command,NN,O
,-,:,O
,line,NN,O
,tool,NN,O
,that,WDT,O
,can,MD,O
,be,VB,O
,used,VBN,O
,to,TO,O
,perform,VB,O
,Active,NNP,B-AP
,Directory,NNP,I-AP 
,queries,NNS,I-AP 
,.,.,O
Sentence 147,Csvde,NN,B-T
,can,MD,O
,be,VB,O
,used,VBN,O
,to,TO,O
,extract,VB,B-AP
,Active,NNP,I-AP 
,Directory,NNP,I-AP 
,files,NNS,I-AP 
,and,CC,O
,data,NNS,O
,.,.,O
Sentence 148,PowerShell,NNP,B-T
,-,-,O
,a,DT,O
,powerful,JJ,O
,interactive,JJ,O
,command,NN,O
,-,-,O
,line,NN,O
,interface,NN,O
,and,CC,O
,scripting,VBG,O
,environment,NN,O
,.,.,O
Sentence 149,Ntdsutil,NNP,B-T
,-,-,O
,can,MD,O
,be,VB,O
,used,VBN,O
,as,IN,O
,a,DT,O
,credential,JJ,O
,-,-,O
,dumping,VBG,O
,tool,NN,O
,.,.,O
Sentence 150,The,DT,O
,threat,NN,O
,actors,NNS,O
,also,RB,O
,use,VBP,O
,a,DT,O
,legitimate,JJ,B-T
,cloud,NN,I-T
,file,NN,I-T
,-,:,O
,hosting,NN,O
,service,NN,O
,for,IN,O
,exfiltration,NN,B-AP
,.,.,O
Sentence 151,APT10,NNP,B-TA
,Targeting,VBG,O
,Japanese,JJ,B-ID
,Corporations,NNS,I-ID
,Using,VBG,O
,Updated,VBN,B-AP
,TTPs,NNP,I-AP 
,.,.,O
Sentence 152,APT10,NNP,B-TA
,is,VBZ,O
,a,DT,O
,Chinese,JJ,O
,cyber,NN,O
,espionage,NN,O
,group,NN,O
,that,WDT,O
,FireEye,NNP,B-ID
,has,VBZ,O
,tracked,VBN,O
,since,IN,O
,2009,CD,O
,.,.,O
Sentence 153,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,DLL,NNP,B-AP
,search,NN,I-AP
,order,NN,I-AP
,hijacking,NN,I-AP
,.,.,O
Sentence 154,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,the,DT,O
,Csvde,NNP,B-T
,tool,NN,O
,to,TO,O
,collect,VB,B-AP
,Active,NNP,I-AP
,Directory,NNP,I-AP
,files,NNS,O
,and,CC,O
,data,NNS,O
,for,IN,O
,automated,JJ,O
,collection,NN,O
,.,.,O
Sentence 155,Malicious,JJ,O
,VBA,NNP,B-INF
,macro,NN,I-INF
,being,VBG,O
,attached,VBN,O
,to,TO,O
,spear,VB,B-AP
,phishing,VBG,I-AP
,emails,NNS,I-AP
,.,.,O
Sentence 156,Many,JJ,O
,threat,NN,O
,actors,NNS,O
,use,VBP,O
,Windows,NNP,B-INF
,certutil,NN,I-INF
,.,.,I-INF
,exe,NN,I-INF
,for,IN,O
,payload,NN,B-AP
,decoding,NN,I-AP
,",",",",O
,and,CC,O
,APT10,NNP,B-M
,continues,VBZ,O
,to,TO,O
,employ,VB,O
,this,DT,O
,technique,NN,O
,.,.,O
Sentence 157,Several,JJ,O
,threat,NN,O
,actors,NNS,O
,leverage,VBP,O
,the,DT,O
,technique,NN,O
,of,IN,O
,using,VBG,O
,Windows,NNP,B-INF
,certutil,NN,I-INF
,.,.,I-INF
,exe,NN,I-INF
,for,IN,O
,payload,NN,O
,decoding,NN,O
,.,.,O
Sentence 158,APT10,NNP,B-TA
,consistently,RB,O
,targets,VBZ,O
,the,DT,O
,same,JJ,O
,geolocation,NN,O
,and,CC,O
,industry,NN,O
,",",",",O
,the,DT,O
,malware,NN,O
,they,PRP,O
,use,VBP,O
,is,VBZ,O
,actively,RB,O
,evolving,VBG,O
,.,.,O
Sentence 159,Users,NNS,O
,are,VBP,O
,advised,VBN,O
,to,TO,O
,disable,JJ,O
,Office,NNP,B-INF
,macros,NN,I-INF
,in,IN,O
,their,PRP$,O
,settings,NNS,O
,.,.,O
Sentence 160,In,IN,O
,this,DT,O
,example,NN,O
,",",",",O
,the,DT,O
,MD5,NNP,B-IND
,hash,NN,I-IND
,of,IN,O
,hxxp[:]//151.106.53[.]147/VxQG,NN,B-IND
,will,MD,O
,be,VB,O
,f613846eb5bed227ec1a5f8df7e678d0,VBN,B-IND
,.,.,O
Sentence 161,bdc4b9f5af9868e028dd0adc10099a4e6656e9f0ad12b2e75a30f5ca0e34489d,NN,B-IND
,will,MD,O
,be,VB,O
,selected,VBN,O
,as,IN,O
,a,DT,O
,Blowfish,JJ,B-INF
,key,NN,I-INF
,.,.,O
Sentence 162,In,IN,O
,July,NNP,O
,2018,CD,O
,",",",",O
,FireEye,NNP,B-ID
,devices,NNS,O
,detected,VBD,O
,and,CC,O
,blocked,VBD,O
,what,WP,O
,appears,VBZ,O
,to,TO,O
,be,VB,O
,APT10,NNP,B-TA
,(,(,O
,menupass,NNP,B-TA
,),),O
,activity,NN,O
,targeting,VBG,O
,the,DT,O
,Japanese,JJ,B-ID
,media,NNS,I-ID
,sector,NN,I-ID
,.,.,O
Sentence 163,APT10,NNP,B-TA
,has,VBZ,O
,a,DT,O
,history,NN,O
,of,IN,O
,targeting,VBG,O
,Japanese,JJ,B-ID
,entities,NNS,I-ID
,.,.,O
Sentence 164,Kaspersky,NNP,B-ID
,Lab,NNP,I-ID
,,,O
,s,VBD,B-ID
,Global,NNP,I-ID
,Research,NNP,I-ID
,and,CC,I-ID
,Analysis,NNP,I-ID
,Team,NNP,I-ID
,(,(,O
,GReAT,NNP,B-ID
,),),O
,has,VBZ,O
,been,VBN,O
,providing,VBG,O
,threat,NN,O
,intelligence,NN,O
,reports,NNS,O
,.,.,O
Sentence 165,The,DT,O
,second,JJ,O
,quarter,NN,O
,of,IN,O
,2017,CD,O
,has,VBZ,O
,seen,VBN,O
,multiple,JJ,O
,incidents,NNS,O
,involving,VBG,O
,Russian,JJ,O
,-,:,O
,speaking,NN,O
,threat,NN,O
,actors,NNS,O
,.,.,O
Sentence 166,iDefense,NN,B-ID
,analysts,NNS,I-ID
,have,VBP,O
,identified,VBN,O
,recent,JJ,O
,campaigns,NNS,O
,attributed,VBD,O
,to,TO,O
,APT10,NNP,B-TA
,",",",",O
,also,RB,O
,known,VBN,O
,as,IN,O
,HOGFISH,NNP,B-TA
,and,CC,O
,Stone,NNP,B-TA
,Panda,NNP,I-TA
,.,.,O
Sentence 167,This,DT,O
,malware,NN,O
,creates,VBZ,B-AP
,two,CD,O
,new,JJ,I-AP
,binaries,NNS,I-AP
,:,:,O
,AYRUNSC,NNP,B-M
,.,.,I-M
,exe,NN,I-M
,and,CC,O
,PTL,NNP,B-M
,.,.,I-M
,AYM,NNP,I-M
,.,.,O
Sentence 168,menupass,NN,B-TA
,has,VBZ,O
,used,VBN,O
,dynamic,JJ,O
,DNS,NNP,B-INF
,service,NN,I-INF
,providers,NNS,I-INF
,to,TO,O
,host,VB,O
,malicious,JJ,B-AP
,domains,NNS,I-AP
,.,.,O
Sentence 169,menuPass,NN,B-TA
,has,VBZ,O
,targeted,VBN,O
,Japanese,JJ,O
,victims,NNS,O
,since,IN,O
,at,IN,O
,least,JJS,O
,2014,CD,O
,.,.,O
Sentence 170,Unit,NN,B-ID
,42,CD,I-ID
,is,VBZ,O
,releasing,VBG,O
,all,DT,O
,IOCs,NNP,O
,we,PRP,O
,have,VBP,O
,associated,VBN,O
,with,IN,O
,menuPass,NN,B-TA
,.,.,O
Sentence 171,The,DT,O
,group,NN,O
,POTASSIUM,NNP,B-TA
,targeted,VBD,O
